Date,Open,High,Low,Close,Adj Close,Volume
2016-11-10,319.13,319.13,319.13,319.13,319.13,36301200
2016-11-11,315.08,315.08,315.08,315.08,315.08,36301200
2016-11-14,310.99,310.99,310.99,310.99,310.99,36301200
2016-11-15,314.01,314.01,314.01,314.01,314.01,36301200
2016-11-16,313.15,313.15,313.15,313.15,313.15,36301200
2016-11-17,311.04,311.04,311.04,311.04,311.04,36301200
2016-11-18,310,310,310,310,310,36301200
2016-11-21,309.5,309.5,309.5,309.5,309.5,36301200
2016-11-22,308.87,308.87,308.87,308.87,308.87,36301200
2016-11-23,312.95,312.95,312.95,312.95,312.95,36301200
2016-11-24,316.93,316.93,316.93,316.93,316.93,36301200
2016-11-25,316.89,316.89,316.89,316.89,316.89,36301200
2016-11-28,319.5,319.5,319.5,319.5,319.5,36301200
2016-11-29,323.96,323.96,323.96,323.96,323.96,36301200
2016-11-30,319.08,319.08,319.08,319.08,319.08,36301200
2016-12-01,321.02,321.02,321.02,321.02,321.02,36301200
2016-12-02,321.77,321.77,321.77,321.77,321.77,36301200
2016-12-05,315.93,315.93,315.93,315.93,315.93,36301200
2016-12-06,326.42,326.42,326.42,326.42,326.42,36301200
2016-12-07,327.45,327.45,327.45,327.45,327.45,36301200
2016-12-08,337.71,337.71,337.71,337.71,337.71,36301200
2016-12-09,337.76,337.76,337.76,337.76,337.76,36301200
2016-12-12,326.86,326.86,326.86,326.86,326.86,36301200
2016-12-13,333.01,333.01,333.01,333.01,333.01,36301200
2016-12-14,332.27,332.27,332.27,332.27,332.27,36301200
2016-12-15,328.05,328.05,328.05,328.05,328.05,36301200
2016-12-16,327.58,327.58,327.58,327.58,327.58,36301200
2016-12-19,325.96,325.96,325.96,325.96,325.96,36301200
2016-12-20,326.48,326.48,326.48,326.48,326.48,36301200
2016-12-21,328.66,328.66,328.66,328.66,328.66,36301200
2016-12-22,325.2,325.2,325.2,325.2,325.2,36301200
2016-12-23,320.03,320.03,320.03,320.03,320.03,36301200
2016-12-26,324.48,324.48,324.48,324.48,324.48,36301200
2016-12-27,326.16,326.16,326.16,326.16,326.16,36301200
2016-12-28,323.72,323.72,323.72,323.72,323.72,36301200
2016-12-29,327.31,327.31,327.31,327.31,327.31,36301200
2016-12-30,334.15,334.15,334.15,334.15,334.15,36301200
2017-01-03,334.56,334.56,334.56,334.56,334.56,36301200
2017-01-04,351.91,351.91,351.91,351.91,351.91,36301200
2017-01-05,346.74,346.74,346.74,346.74,346.74,36301200
2017-01-06,350.76,350.76,350.76,350.76,350.76,36301200
2017-01-09,348.51,348.51,348.51,348.51,348.51,36301200
2017-01-10,349,349,349,349,349,36301200
2017-01-11,345.45,345.45,345.45,345.45,345.45,36301200
2017-01-12,347.05,347.05,347.05,347.05,347.05,36301200
2017-01-13,344.87,344.87,344.87,344.87,344.87,36301200
2017-01-16,341.47,341.47,341.47,341.47,341.47,36301200
2017-01-17,349.13,349.13,349.13,349.13,349.13,36301200
2017-01-18,355.08,355.08,355.08,355.08,355.08,36301200
2017-01-19,354.72,354.72,354.72,354.72,354.72,36301200
2017-01-20,354.99,354.99,354.99,354.99,354.99,36301200
2017-01-23,351.22,351.22,351.22,351.22,351.22,36301200
2017-01-24,350.31,350.31,350.31,350.31,350.31,36301200
2017-01-25,347.63,347.63,347.63,347.63,347.63,36301200
2017-01-26,344.42,344.42,344.42,344.42,344.42,36301200
2017-02-03,346.85,346.85,346.85,346.85,346.85,36301200
2017-02-06,346.85,346.85,346.85,346.85,346.85,36301200
2017-02-07,343.58,343.58,343.58,343.58,343.58,36301200
2017-02-08,344.21,344.21,344.21,344.21,344.21,36301200
2017-02-09,347.61,347.61,347.61,347.61,347.61,36301200
2017-02-10,345.08,345.08,345.08,345.08,345.08,36301200
2017-02-13,349.75,349.75,349.75,349.75,349.75,36301200
2017-02-14,350.21,350.21,350.21,350.21,350.21,36301200
2017-02-15,348.53,348.53,348.53,348.53,348.53,36301200
2017-02-16,348.09,348.09,348.09,348.09,348.09,36301200
2017-02-17,350.56,350.56,350.56,350.56,350.56,36301200
2017-02-20,361.29,361.29,361.29,361.29,361.29,36301200
2017-02-21,358.74,358.74,358.74,358.74,358.74,36301200
2017-02-22,361.89,361.89,361.89,361.89,361.89,36301200
2017-02-23,361.7,361.7,361.7,361.7,361.7,36301200
2017-02-24,362.62,362.62,362.62,362.62,362.62,36301200
2017-02-27,357.2,357.2,357.2,357.2,357.2,36301200
2017-02-28,354.66,354.66,354.66,354.66,354.66,36301200
2017-03-01,356.61,356.61,356.61,356.61,356.61,36301200
2017-03-02,356.82,356.82,356.82,356.82,356.82,36301200
2017-03-03,356.54,356.54,356.54,356.54,356.54,36301200
2017-03-06,358.96,358.96,358.96,358.96,358.96,36301200
2017-03-07,367.2,367.2,367.2,367.2,367.2,36301200
2017-03-08,367.28,367.28,367.28,367.28,367.28,36301200
2017-03-09,369.9,369.9,369.9,369.9,369.9,36301200
2017-03-10,369.85,369.85,369.85,369.85,369.85,36301200
2017-03-13,371.55,371.55,371.55,371.55,371.55,36301200
2017-03-14,369.5,369.5,369.5,369.5,369.5,36301200
2017-03-15,374.68,374.68,374.68,374.68,374.68,36301200
2017-03-16,374.77,374.77,374.77,374.77,374.77,36301200
2017-03-17,378.48,378.48,378.48,378.48,378.48,36301200
2017-03-20,386.41,386.41,386.41,386.41,386.41,36301200
2017-03-21,394.01,394.01,394.01,394.01,394.01,36301200
2017-03-22,394.48,394.48,394.48,394.48,394.48,36301200
2017-03-23,389.79,389.79,389.79,389.79,389.79,36301200
2017-03-24,386.82,386.82,386.82,386.82,386.82,36301200
2017-03-27,378.82,378.82,378.82,378.82,378.82,36301200
2017-03-28,380.26,380.26,380.26,380.26,380.26,36301200
